MARYLAND ......................................,26,29,58,186,340,"1,119","1,594","1,888","1,927","2,342","9,509"
NORTHWEST AREA ........................,6,3,7,8,32,109,119,166,146,200,796
GARRETT .....................................,1,0,0,0,2,0,2,2,5,5,17
ALLEGANY ....................................,1,1,1,1,5,29,29,29,19,44,159
WASHINGTON ..............................,1,1,4,1,14,31,39,70,70,95,326
FREDERICK ..................................,3,1,2,6,11,49,49,65,52,56,294
BALTIMORE METRO AREA ............,10,16,35,142,248,792,"1,118","1,415","1,395","1,605","6,776"
BALTIMORE CITY .........................,2,4,12,72,120,419,573,758,810,920,"3,690"
BALTIMORE COUNTY ..................,4,5,11,36,65,182,244,308,285,328,"1,468"
ANNE ARUNDEL ..........................,2,3,6,23,29,98,152,184,164,209,870
CARROLL ......................................,0,1,2,4,11,20,40,55,47,37,217
HOWARD ......................................,0,2,3,5,7,27,36,34,28,44,186
HARFORD .....................................,2,1,1,2,16,46,73,76,61,67,345
NATIONAL CAPITAL AREA .............,0,3,6,15,32,101,175,115,167,251,865
MONTGOMERY ............................,0,2,0,8,17,43,72,40,76,102,360
PRINCE GEORGE’S .....................,0,1,6,7,15,58,103,75,91,149,505
SOUTHERN AREA ...........................,3,1,4,9,9,32,74,60,74,79,345
CALVERT ......................................,1,0,0,5,2,11,22,23,23,16,103
CHARLES ......................................,1,1,3,1,4,17,26,14,24,37,128
ST MARY’S ...................................,1,0,1,3,3,4,26,23,27,26,114
EASTERN SHORE AREA ................,7,6,6,12,19,85,108,132,145,207,727
CECIL ............................................,2,0,0,1,7,9,44,52,49,81,245
KENT .............................................,0,0,0,1,0,3,3,2,10,6,25
QUEEN ANNE’S ............................,0,0,1,1,0,4,5,16,10,12,49
CAROLINE ....................................,4,0,0,0,1,3,7,6,9,14,44
TALBOT .........................................,0,1,0,2,2,7,3,10,11,11,47
DORCHESTER .............................,0,0,2,0,1,3,7,4,9,15,41
WICOMICO ...................................,1,4,1,7,1,34,24,24,26,34,156
SOMERSET ..................................,0,0,2,0,1,6,3,8,9,12,41
WORCESTER ...............................,0,1,0,0,6,16,12,10,12,22,79
